TagValue_UID,TagValue_Number,TagValue_Service Name,TagNotes_Service Definition,TagNotes_Service Description,TagValue_JCA Alignment,TagNotes_JCSFL Alignment,TagValue_JARM/ESL Alignment,TagNotes_Comments
190,1.1.4,Event Notification,"Eventing capabilities provide a federated, distributed, and fault-tolerant enterprise message bus delivering performance, scalable and interoperable asynchronous event notifications Quality of Service (QoS), guaranteed delivery to disconnected users or applications, and decoupling of information among producers and consumers.","The Eventing line provides a federated, distributed, and fault-tolerant enterprise message bus. It delivers high performance, scalable and interoperable asynchronous event notifications to both applications and end-users. This service supports the configuration of Quality of Service (QoS) for a published message including the priority, precedence, and time-to-live (TTL); provides guaranteed delivery to disconnected users or applications; and utilizes multiple message brokers, potentially within different administrative domains to support the distributed, federated nature of the GIG. Messaging services promote decoupling of information among producers and consumers.",family,family,family,This is more likely the message queuing capability.  Need to support fire and forget with reliability
171,1.1.3.3,Site Monitoring,Site Monitoring provides the ability to measure and report the health and performance of websites and servers.,"Site Monitoring measures and reports the health and performance of web sites and servers through the collection of enterprise-defined metrics.  It provides a vendor, platform, network, and protocol neutral framework that shares a common messaging protocol to unify infrastructure status reporting.  In the event of a system fault or failure, Site Monitoring will use the Notification service to send event notifications to the appropriate subscribers.",6.3.1.1 Network Resource Visibility,"3.5.24  Monitor Data Link Status
3.5.26  Display System Status
3.5.27 Monitor System Status
8.1.13  Maintain Network and Communication Status 
8.1.16  Manage Network Performance
8.1.24  Monitor and Assess Network 
8.1.25  Manage Status of Network Assets 
8.1.26  Perform System and Network Analysis 
8.1.32  Calculate Network Loads
8.1.33  Calculate Processing Availability 
8.1.67  Manage Message Traffic 
8.1.77  Assess Network Equipment Performance 
8.1.81  Balance Processing Loads 
8.1.84  Track Network User Activity 
8.5.11  Monitor Network Usage
8.7.62  Monitor System and Resource Allocation
9.2.15  Report System Status
9.2.16  Maintain System Status
9.3.10 Receive and Register System Status",8.33.01 Service Monitoring; 5.04.02 Infrastructure and Performance Monitoring Services,"Generally, Fault detection/isolation is build on top of the metrics monitoring and reporting tools noted above.  The additional stuff includes rules processing that allows for histerisis and trend detection, as well as for analytics for tracing connections among faults (e.g., sometimes a single fault will result in may down-stream faults)."
301,1.1.3.2,Fault Isolation,Fault Isolation enables pinpointing the type of fault and its location.,"Fault Isolation works in cooperation with Fault Detection, to identify information about a fault when one has been detected.  This information may include which system/service has failed, the operations or jobs that were being processed at time of failure, and information about currently logged-on or authenticated users, as well as standard date/time and system location information.  This information is provided to the Site Monitoring service to provide appropriate notifications.",6.3.1.1 Network Resource Visibility,"9.1.19 Provide On-Line Fault Isolation
9.2.4 Perform Network Fault Isolation and Reconfiguration
9.2.5 Monitor Faults",5.04.03 Enterprise IT Environment Services,"Generally, Fault detection/isolation is build on top of the metrics monitoring and reporting tools noted above.  The additional stuff includes rules processing that allows for histerisis and trend detection, as well as for analytics for tracing connections among faults (e.g., sometimes a single fault will result in may down-stream faults)."
300,1.1.3.1,Fault Detection,Fault Detection enables system monitoring and identification of a fault occurrence.,"Fault Detection may be implemented as a centralized audit log monitoring and alerting system to which all computing assets push their logging data, as a heartbeat type service that periodically checks to make sure that other services are up and running, or as a local agent deployed on a system that monitors for faults and sends those notifications to a centralized detection location.  When a fault is detected, the Fault Detection service will interact with the Fault Isolation service to derive additional information.  This additional information is used by the Site Monitoring service to send appropriate notifications.",6.3.1.1 Network Resource Visibility,"9.1.18 Detect Equipment Faults
9.3.8 Monitor and Report Software Faults
9.3.9 Monitor and Report Hardware System Faults",5.04.03 Enterprise IT Environment Services,"Generally, Fault detection/isolation is build on top of the metrics monitoring and reporting tools noted above.  The additional stuff includes rules processing that allows for histerisis and trend detection, as well as for analytics for tracing connections among faults (e.g., sometimes a single fault will result in may down-stream faults)."
169,1.1.3,Enterprise Monitoring,The Enterprise Monitoring family monitors services and websites across the  enterprise.,Enterprise Monitoring services measure and report the health and performance of web services as well as DI2E servers and websites.,family,family,family,none
174,1.1.2.2,Time Synchronization,The Time Synchronization service establishes a consistent time to be used by all DI2E IT resources.,"Time Synchronization provides a consistent time reference for all DI2E devices, thus supporting secure log ins, service interoperability, trustworthy database transactions, and accurate monitoring activities.  The goal is to use well established and ubiquitous method of time synchronization that responds to time requests from any internet client and is consistent among all DI2E nodes & community related nodes.",6.2.4.2 Utilize PNT Information,"1.5.11   Translate Time Data
8.1.23 - Synchronize Network Timing 
8.7.23  Disseminate Time Data",3.01.04 Timing and Frequency Device Services,"What is important here is that the time sync across the networks is from a common source (e.g., GPS or USNO).  This should be pretty much a done deal on all our networks, just need to confirm.  What we also should do is identify how a given app can access that time from the OS it's using, and we need to make sure that the OS in VMs can access the NTP as well."
225,1.1.2.1,Domain Name System (DNS),This Domain Name System (DNS) locates and translates Internet domain names into Internet Protocol (IP) addresses using a hierarchy of authority.,"Domain names are meaningful identification labels for Internet addresses. The Domain Name System (DNS) translates the more easily used by humans domain names (example: www.army.mil)  into numerical Internet Protocol formats (example: 192.52.180.110) used by networking equipment for locating and addressing devices. 

DNS makes it possible to assign domain names to groups of Internet users in a meaningful way, independent of each user's physical location. Because of this, World Wide Web (WWW) hyperlinks and Internet contact information can remain consistent when internet routing arrangements change or a participant uses a mobile device.     Consistently applied DNS naming conventions across the enterprise further promote enterprise interoperability because users & systems can more easily and dependably find and understand the purpose of web based resources.",6.2.1 Information Sharing,"8.1.56 Translate Name-to-Address
8.1.60 Provide Distributed Domain Name Systems (DNSs)",(gap),"DNS is pretty much ubiquitous.  What is needed is not so much the tool as the guidance for best practices related to how to manage the DNS hierarchy within a COCOM and all the enclaves within the COCOM, as well as across COCOMs.  Additionally, need to make sure URL best practices are part of this guidance (e.g., ""Cool URLs Don't Change"" from Tim Berners Lee)"
173,1.1.2,Translation and Synchronization,Translation and Synchronization services promote standardized references of time and location across the  Enterprise.,Translation & Synchronization enables the management of network operations by resolving service endpoint Universal Resource Locators (URLs) and maintaining synchronized time on all connected  nodes.,family,family,family,none
168,1.1.1.2,Metrics Reporting,Metrics Reporting service provides an interface for the retrieval of managed resource quality of service metrics.,Metrics Reporting is used by Knowledge Managers to retrieve metrics collected by the Metrics Measurements Collection service.,6.3.1.1 Network Resource Visibility,"3.4.18 Display Performance Data
8.7.52 Report Performance Results
9.1.29 Record and Store System Components Reliability Information",8.16.11 Metrics Visualization,Probably an interface (both GUI and back-end interfaces) associated with the Metrics Measurement Collection tool
164,1.1.1.1,Metrics Measurements Collection,Metrics Measurements Collection gathers and records service performance measurements.,"Metrics Measurements Collection service monitors invoked services and collects related performance measurements which are then used to calculate quality of service and other performance metrics.  Not directly accessed by users, this service gathers and records its information into the service performance database.",6.3.1.1 Network Resource Visibility,"3.4.12 Collect Performance Data
3.4.18 Display Performance Data
9.2.9 Record Real-Time System Performance and Condition Information",8.16.10 Metrics Collection,"Probably a combination of libraries such as log4j, best practice guidance, a tool that can forward metrics logs, and a tool that can collect metrics logs and store them in ""big storage"" and perform analytics on them."
163,1.1.1,Metrics Management,Metrics Management enables operational analysis and management for the quality of service provided by DI2E services.,"Metrics Management develops & collects metrics, monitors events, and evaluates performance.   This requires a standard set of metrics, reported events, and interface for querying and reporting collected metrics. 

Service providers must analyze information to detect and report service degradation so corrective action can be taken when needed.   Real-time monitoring avoids Service Level Agreement (SLA) violations and minimizes service down time.   

The Metrics Management family supports two service interface models: Request/Response Interface – to support ad-hoc querying of metrics and event data; and the Publish/Subscribe Interface – to support a publish/subscribe interface.",family,family,family,"Plenty of open source tools for doing this.  Recommend Nagios.  Need to manage not only networks, VMs, processes, but also the actual web services etc."
162,1.1,Enterprise Management,Enterprise Management services enable consistent service level agreement and quality of service reporting; service/site monitoring; consistent use of domain names; and time synchronization.,"Enterprise Management services enable consistent management of service performance, access, and time.  In particular:

   • Service Level Agreement/Quality of Service (SLA/QoS) Reporting services enable operational analysis and management of DI2E services
   • Enterprise Administration services monitor services, services, and websites 
   • Translation and Synchronization services promote standardized references of time and location",Line,Line,Line,"Focus on what should be the standard measures, by category of monitored item.  In addition, give guidance for how to calculate these measures (e.g., availability, MTTR, etc).   What is important is not so much consistency of SLAs as much as consistency of parameter definitions/measures that any given SLA will reference"
2,2,Common Services,The services that provide a  function that is common across many mission capabilities.,Layer,Layer,Layer,Layer,Layer
151,2.6.5.10,Change Agent,"Change Agent provides for the management of information about the individuals that update and modify managed records.
","The Change Agent service is responsible for managing the information regarding organizational structure used for the purpose of establishing provenance within the records management service by identify the parties that are involved with the maintenance and manipulation of the Managed Records and the other entities within the records management service.  The Change Agent service has operations that provide access to a hierarchy of change agents and the roles that have been assigned to them.
",6.4.1.1 Assure Access,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,How is this different than ABAC with PDP/PEP?
150,2.6.5.9,Record Attribute Profiles,"Record Attribute Profiles maintain the instance data for profiles that have been added to the records management services.
","The Record Attribute Profiles service maintains the instance data for profiles that have been added to the records management family. This service is not responsible for entering the profiles themselves.  The service’s responsibilities are limited to providing information contained in existing profiles and for storing instance data for attributable objects. Attribute profiles enable the dynamic addition of metadata to Managed Records based on profiles set up in the system. Objects are registered with the Record Attribute Profiles service so that attributes can be set for that particular object based on a profile.  The Record Attribute Profiles service contains operations setting and retrieving the attribute values.
",6.4.1.1 Assure Access,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
149,2.6.5.8,Record Authentications,"Record Authentications provides the management of authentication methods and the results of execution of those methods on managed records.
","The Record Authentications service provides the ability to manage authentication methods, execute those authentication methods on managed records and to maintain the results of those authentications to enable the assessment of authenticity of a particular record.  The Record Authentications service depends on the Managed Records service to get information relevant to the record to be authenticated. It also depends on the Record Documents service to get the actual contents of the record.

The Record Authentications service has operations that return the Authentication Result for the Managed Record, calculates the Authentication Result for the Managed Record and compares it to the Authentication Base, allows changing the Authentication Method of a Managed Record from an old Authentication Method to a new Authentication Method which causes the generation of a new Authentication Base using the new Authentication Method.  In addition, this service allows new Authentication Methods to be put into action as well as marking the retirement date of an Authentication Method.
",6.2.3.4 Content Delivery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records ManagementN/A,none
148,2.6.5.7,Record Query,"Record Query accepts a request and returns records identifiers that match the query.
","The Record Query service provides the ability query Managed Records based on the Record Management System data model elements and their relationships. The Record Queries service consists of a single query operation. The query operation takes a string as an input parameter and returns the results as a string. The input parameter qualifies the requested elements (likely provided in XQuery/Xpath string format) to the Records Management Environment.  The operation returns a string that contains the elements that match the request in the form of an XML string formatted according to the Records Management System XML Schema Definition.
",6.2.3.4 Content Delivery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
147,2.6.5.6,Managed Records,Managed Records provides the management  of the information related to records that are being controlled by the records management system.,"The Managed Records service manages a wide variety of information related to Managed Records including the associations to other Managed Records and Case File Definitions.  Managed Records are the records generated during the course of business that an organization is interested in tracking and includes case files.  The Managed Records service depends on the Record Documents service to manage the actual documents that make up the contents of the record. The Managed Records service maintains the additional metadata about the document required for records management. The Managed Records service also depends on the Change Agent service to maintain information regarding organizations that play various roles with respect to the managed record such as record keeper or record creator.

The Managed Records service has operations to capture Managed Records, retrieve or destroy the Managed Records and any of the metadata associated with the Manages Record.  This service also allows the Managing Record to be associated with other Managed Records and Case Files.
",6.2.3.3 Content Discovery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
146,2.6.5.5,Record Documents,Record Documents provides the management of the documents which comprise the content of the managed records.,"The Record Documents service manages the documents which comprise the content of Managed Records.  A Document managed by the records management family is interpreted simply as ""bit strings"" without presumption of form or purpose; in other words, the document contents per se are of no concern to the records management system, although a document type is maintained for use by the consumers of the record management system. Documents can be used in many Managed Records because a single Document can represent evidence of multiple business activities/purposes. When final disposition of a Managed Record in which a document participates occurs (transfer or destroy), the Managed Record is destroyed.   The Document itself is destroyed only when the Managed Record in final disposition is the only one that still refers to the document.

The Record Documents service has operations to save documents into the records management system, retrieve documents from the records management system and destroy document.",6.2.3.4 Content Delivery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
145,2.6.5.4,Record Dispositions,"Record Dispositions provide for the management of information related to lifecycle of the managed records.
","The Record Dispositions service includes management of a wide variety of information related to disposition instructions, dispositions plans, and suspensions. When a record is assigned to a record category, a disposition plan is generated based on the disposition instruction. If record category is changed, the disposition plan must be deleted unless the managed record category points to the same disposition instruction.

The Record Dispositions service has operations to add and remove disposition instructions to disposition plans, associate disposition plans to sets of managed records, return the managed records associated with a disposition plan, return a disposition plan for a specific managed record, and manage suspense events.
",6.2.3.4 Content Delivery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
144,2.6.5.3,Record Categories,"Record Categories provide the assignment of records to categories defined in a category schema.
","The Record Categories service manages the association of the Managed Records with some business activity that requires that records of it be kept.  This is accomplished by associating Managed Records to business identified categories. The Record Categories service provides access to record schedules captured a Categorization Schema. The actual setup of the schemas is outside the scope of this service. The functionality provided herein allows for the use of the schema and the application of its categories to Managed Records.

The Record Categories service provides the ability to assign Managed Records to Record Categories either individually or as a set.  There are operations to add and remove record Categories, manage the association of Managed Records to Record Categories, return information on the Category Schemas and return the Disposition Instruction for specified Record Categories.",6.2.3.4 Content Delivery,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,none
143,2.6.5.2,Record Authorities,Record Authorities provide the management of the Authorization instances on particular managed records.,"The Record Authorities service to manage information about the organizations that have authority for managed records within records management system by maintaining an association between an Authority for a particular records management element and the Change Agent that has that responsibility.  The Record Authorities service manages information regarding the parties with legal authority over the managed records and their annotations using the Change Agent service to manage the data about the Authority. The record Categories service maintains a reference to information in the Authorities service related to the authority for a categorization schema.
",6.4.1.1 Assure Access,"8.7.18  Archive Data
8.7.108  Record Data
8.7.82  Retain Data",8.13 Records Management,How is this different than ABAC with PDP/PEP?
142,2.6.5.1,Record Annotations,This service provides the management of the markup and highlight instances that are associated with particular managed records,"The Record Annotations service provides markings on records that help to differentiate them from other records in the same category or across categories. These are typically used to support business needs for special handling or management of the record.  The Record Annotations service has operations that provide the ability to add an annotation to a managed record, retrieve a list of the annotations for a specified managed record and the ability to remove one or all annotations from a particular managed record.",6.2.3.4 Content Delivery,(gap),8.13 Records Management,none
141,2.6.5,Records Management,"The Records Management family of capabilities provides systematic control of the creation, receipt, maintenance, use and disposition of records.","The Records Management family of capabilities provides systematic control of the creation, receipt, maintenance, use and disposition of records, including the processes for capturing and maintaining evidence of and information about business activities and transactions in the form of records. 

   • Record Annotations - which provides the management of the markup and highlight instances that are associated with particular managed records
   • Record Authorities - which provides the management of the Authorization instances on particular managed records
   • Record Categories - which provides assignment of records to categories defined in a category schema.
   • Record Dispositions- which provides management of information related to lifecycle of the managed records.
   • Record Documents- which provides management of the documents which comprise the content of the managed records
   • Managed Records - which provides management  of the information related to records that are being controlled by the records management system
   • Record Query - which accepts a request and returns records identifiers that match the query.
   • Record Authentications- which provides the management of authentication methods and the results of execution of those methods on managed records
   • Record Attribute Profiles- which maintains the instance data for profiles that have been added to the records management services.
   • Change Agent- which provides management of information about the individuals that update and modify managed records",family,family,family,family
140,2.6.4.3,Data Quality Measurement,Data Quality Measurement performs data quality measurement and assessment computations that populate the operational quality data portion of the data quality metrics database,"The Data Quality Measurement service provides summary counts of the number of business rule violations and calculates the levels of quality of different data quality dimensions.   This is accomplished by comparing Data Quality measurements to established Data Quality standard requirement or desired threshold level for the metric such as: Simple Ratio, Weighted Average, Minimum and Maximum operations. The results of these measurement comparisons are then processed through one or more assessment schemes to identify the level of acceptance (or not) of the quality of the data.",6.2.3.4 Content Delivery,8.7.34 Validate Data,(gap),none
139,2.6.4.2,Data Quality Extraction,Data Quality Extraction processes commands to retrieve specified portions of the data quality metrics database,This service provides access the data quality metrics database to be used by applications the will process the data quality information for presentation and analysis on the quality of the data within the system.  The output of this service will be an XML file that follows the data quality XML Schema.,6.2.3.4 Content Delivery,8.7.34 Validate Data,(gap),none
138,2.6.4.1,Data Quality Definition,Data Quality Definition populates the business tables in the definitional data portion of the data quality metrics database,"The Data Quality Definition service is the primary mechanism whereby various entries in the different definitional tables provided by the user. This includes Information Product Types, Data Item Types, Data Object Types, Business Rules, Data Quality metrics, and Data Quality Object Metrics. The Data Quality Definition service provides the storage of the Data Quality metadata in a repository.",6.2.3.4 Content Delivery,8.7.34 Validate Data,(gap),none
137,2.6.4,Data Quality,"The Data Quality family of services provides methods and metrics by which the value of the data to the enterprise can be measured to ensure data is accurate, timely, relevant, complete, understood, trusted and satisfies intended use requirements.","The Data Quality family of services provides methods and metrics by which the value of the data to the enterprise can be measured to ensure data is accurate, timely, relevant, complete, understood, trusted and satisfies intended use requirements.

   • Data Quality Definition - which populates the business tables in the definitional data portion of the data quality metrics database
   • Data Quality Extraction - which processes commands to retrieve specified portions of the data quality metrics database
   • Data Quality Measurement  - which performs data quality measurement and assessment computations that populate the operational quality data portion of the data quality metrics database",family,family,family,The below 3 items are all part of the EDQMS.  Not sure whether it is worth pulling them out as separate items
131,2.6.1.8,Content Policy,Content Policy is used to apply or remove a policy object to an object that is under the control of a policy,"The Content Policy service is used to apply or remove a policy object to a content object. A policy object represents an administrative policy that can be enforced by a repository, such as a retention management policy. Each policy object holds the text of an administrative policy as a repository-specific string, which may be used to support policies of various kinds. A repository may create subtypes of this base type to support different kinds of administrative policies more specifically.  Policy objects are created by the Object Processing service and manipulated by this Content Policy service.  The service has operations to apply a specified policy to an content object, get the list of policies currently applied to a specified content object and remove a specified policy from a specified content object.",6.2.3.4 Content Delivery,8.7 Manage Data (Group),8.10 Content Management,none
130,2.6.1.7,Object Relationship,Object Relationship is used to retrieve the dependent relationship objects associated with an independent object,"The Object Relationship service is used to retrieve the dependent relationship objects associated with an independent object that were created with the Object Processing service.  The service gets all or a subset of relationships associated with an independent object.  In addition the service allows the consumer to specify whether the service returns relationships where the specified content object is the source of the relationship, the target of the relationship, or both.",6.2.3.3 Content Discovery,8.7 Manage Data (Group),8.10 Content Management,none
129,2.6.1.6,Content Versioning,Content Versioning is used to navigate or update a document version series,"The Content Versioning service is used to navigate or update a document version series. The Content Versioning service provides a check-out operation that gets a the latest document object in the version series, allows a private working copy of the document to be created and provides a  checks-in operation that checks-in a private working copy document as the latest in the version series. In addition, the Content Versioning service provides an operation that reverses the effect of a check-out by removing the private working copy of the checked-out document, allowing other documents in the version series to be checked out again.  Finally there is a service to retrieve a the list of all Document Objects in the specified Version Series.",6.2.3.4 Content Delivery,8.7 Manage Data (Group),8.10 Content Management,Why isn't this just Document CM?
128,2.6.1.5,Managed Content Discovery,Managed Content Discovery executes a query statement against the contents of a content repository,"The Managed Content Discovery service (query) is used to search for query-able objects within the content repository.  The Managed Content Discovery service provides a type-based query service for discovering objects that match specified criteria,  The semantics of this query language is defined by applicable query language standards in conjunction with the model mapping defined by the relational view of the content management object repository.  This service also provides and operation to get a list of content changes to be used by search crawlers or other applications that need to efficiently understand what has changed in the repository.",6.2.3.3 Content Discovery,8.7 Manage Data (Group),8.10 Content Management,"If this is for queries against a content repository, then CDW fits.  If it is a query against a document  repository, then CDW might fit.  Better to call this Managed Document Discovery, perhaps.  In any case, it seems better to provide crawler support and then the index that is the results of the crawling would be searchable via CDW."
127,2.6.1.4,Object Folders,The Object Folders service is used to file and un-file objects into or from folders,The Object Folders service supports the multi-filing and unfiling services. Multi-filing allows the same non folder content object to be to be filed in more than one folder.  The Object Folders service allows existing fileable non-folder objects to be added to a folder and allows existing fileable non-folder object to be removed from a folder.  This service is NOT used to create or delete content objects in the repository.  The content objects must have previously been created by the Object Processing service to be filed and a content object that is removed from a folder remains persistent in the content repository.,6.2.3.4 Content Delivery,8.7 Manage Data (Group),8.10 Content Management,none
126,2.6.1.3,Object Processing,"Object Processing provides ID-based Create, Retrieve, Update, Delete (CRUD), operations on objects in a repository.","The Object Processing service provides Create, Retrieve, Update, Delete (CRUD) manipulation on the objects in a content repository. Specifically, the Object Processing service allows for the creation of a document object of the specified type in the specified location within the tree of folders and creates relationship objects of the specified types that are used to specify how content objects can be related. A relationship object is an explicit, binary, directional, non-invasive, and typed relationship between a specified source object and a specified target object.  Information contained in the properties of the content objects can be created, retrieved and updated.  The content objects, such as documents, themselves can be  created, retrieved deleted also content objects can be moved from one folder to another.",6.2.3.4 Content Delivery,"8.7.14  Delete Data
8.7.19  Categorize Data
8.7.25  Register Data
8.7.28  Provide Database Utilities
8.7.36  Post or Publish Data
8.7.39  Aggregate Data
8.7.71  Store Semantic Information on Data
8.7.66  Post Metadata to a Discovery Catalog
8.7.67  Post Metadata to a Federated Directory
8.7.68  Post Metadata to Metadata Registries
8.7.89  Provide Discovery Metadata for Situational Awareness
8.7.14  Delete Data",8.10 Content Management,"Note that RESTful does this via hyperlinks and content representation, and scales  better."
125,2.6.1.2,Content Navigation,"Content Navigation is used to traverse the folder hierarchy in a repository, and to locate Documents that are checked out","The Content Navigation service provides operations to retrieve objects from a tree of folder objects that have the following constraints:
• Every folder object, except for one which is called the root folder, has one and only one parent folder. The Root Folder does not have a parent.
• A folder object cannot have itself as one of its descendant objects.
• A child object that is a folder object can itself be the parent object of other file-able objects such as other folders and documents.
• The folder objects in a content repository form a strict hierarchy, with the Root Folder being the root of the hierarchy.
The Content Navigation service provides the retrieval of a list of child objects that are contained in a specified folder, a set of descendant objects contained in a specified folder or any of its child-folders.  In addition, the Content Navigation service provides the retrieval of the parent folder object for a specified folder object a list of documents that are checked out to which the user has access.",6.2.3.3 Content Discovery,8.1.78 Query Global Directory Service,8.10 Content Management,"Isn't this really more like Document CM?  Does Wikipedia satisfy this?  What if the documents are not in folders (e.g., hypermedia)?  Recommend re-naming to ""folder navigation"" because that is more consistent with the definition."
124,2.6.1.1,Content Repository,Content Repository is used to discover information about repositories and the object-types defined for the repository.,The Content Repositories service has operations that return a list of existing content repositories available from the Content Management service endpoint; information about the content repository and its Access Control information.  The Content Repositories service also provides operations that return the definition of a specified content object type as well as list of content object types that are children or decedents of a specified content object type.,6.2.3.3 Content Discovery,"8.1.31 Maintain Global Directory Service
8.7.19 Categorize Data",8.10 Content Management,"Isn't this more like ""content repository discovery"" or ""content repository registry""?  Actually, it may need to be ""document repository discovery/registry"""
123,2.6.1,Content Management,Content Management provides services that organize and facilitate the  collaboration and publication of documents and other enterprise content.,"Content Management services organize and facilitate the  collaboration and publication of documents and other enterprise content.

Specific services include: 

    • Content Repository - which is used to discover information about repositories and the object-types defined for the repository
    • Content Navigation  - which traverses repository folder hierarchies and locates checked out documents
    • Object Processing  - which provides ID-based Create, Retrieve, Update, Delete (CRUD), operations on repository objects 
    • Object Folders  - which files and un-files folder objects 
    • Managed Content Discovery  - which executes a query statement against the content repository
    • Content Versioning   - which navigates or updates a document version series
    • Object Relationship   - which retrieves the dependent relationship objects associated with an independent object
    • Content Policy  - which applies or removes policy objects 
    • Content Access Control List This service processes the access control list (ACL) associated with repository objects",family,family,family,"This should be ""document management""  Note that the CMIS is for ""controlling diverse document management systems and repositories using web protocols"".  I.e., it is document focused vice data focused.  I would recommend combining all of the below into a document management service and list the sub-services as functionality that such a service should provide - but don't call them all out separately as their own 4th level item."
122,2.6,Data Handling,The Data Handling line of capabilities includes the data management and processing functions used to maintain and manage DI2E data stores.,"The Data Handling line of capabilities includes the data management and processing functions used to maintain and manage DI2E data stores.  Included families of capabilities provide content management, data quality control, and records management.",Line,Line,Line,"From definitions below, this is not ""data handling"" bot ""document handling"".  This is an important distinction, as data that is not in document format will need to be handled differently than data in document format"
243,2.5.1.4,Data Commenting,Data Commenting services allow the users to enrich the existing data by adding comments on the data.,Data Commenting enables users to comment and collaborate on existing data within the system.  The comment service allows users to enrich the data set without altering the original product.,6.2.3.3 Content Discovery,8.7.19 Categorize Data,(gap),none
156,2.5.1.3,Categorize Content,Categorize Content analyzes the text and meta data for a piece of content in order to assign that document into the proper  place in a predefined taxonomy or hierarchy.,"Categorize Content analyzes the text and meta data for a piece of content in order to assign that document into the proper  place in a predefined taxonomy or hierarchy. This is done to allow the user to browse for relevant content vs. key word search.

For example, a piece of content may be related to the USS Roosevelt. The if proper like categorized the user would be able to discover this content via traversing a taxonomy such as: Ships -> Military Ships -> US -> Air",6.2.3.3 Content Discovery,8.7.21  Correlate Data,(gap),"Similar to 3.5.1.1, need COI taxonomies. {Nguyen, Phuc N. Phuc.Nguyen@l-3com.com, 10 Aug, 11}"
155,2.5.1.2,Entity Association,Entity Association establishes and records relationships between data objects for use in advanced analytical processing and reporting.,"Entity Association discovers and records in persistent data stores various analytic relationships that might exist among disparate database objects.   These stored relationships can then be used by Analytic Processing services to more easily import, analyze, and report various associations, trends, groupings, or status that might not be found using more traditional Data Content Discovery services .       

Examples of relationships might include (but not necessarily limited to) spatial, temporal, event based, or data content relationships.   Complex combinations of various relationships are also possible.",6.2.3.3 Content Discovery,"8.7.4 Analyze Data
8.7.19 Categorize Data
8.7.21 Correlate Data
8.7.43 Mine Data
8.7.47 Synchronize Data
8.7.55 Establish Discovery Catalogs
8.7.59 Manage Encyclopedic Database
8.7.99 Produce Information Mapping and Taxonomy
8.7.111 Associate Data Characteristics",6.03.04 Data Mining Services; 8.18.04 Data Mining,"Need  COI ontology models to represent key entities, workflows and business rules. Automated (or machine-assisted) entity extraction and link discovery need lots of intelligence wired into the data layer. Current state-of-the-art still requires human in most analytic workflows. Take a look at NSA's Blackbook. {{Nguyen, Phuc N. Phuc.Nguyen@l-3com.com, 10 Aug, 11}"
154,2.5.1.1,Entity Extraction,Entity Extraction extracts specific data from unstructured text.,"Entity extraction scans text for semantic meaning and identifies key metadata and/or concepts in the document based on a semantic understanding of the language. It can identify things such as people, places, events, objects, etc.    It may also extract relationships such as “Muhammad Omani met has connections with suspected Taliban fighters”.    Information in the document may be tagged using standards such as Resource Description Framework (RDF) or Web Ontology Language (OWL).",6.2.3.3 Content Discovery,8.7.70 Re-Map Information,6.03.04 Data Mining Services; 8.18.04 Data Mining,"For automated asset ingest workflows, best when provided with COI ontology models or at least controlled vocabulary sets (dictionary, taxonomy, thesaurus). Take a look at USAF's AMPS (Auto Metadata Population Services). {Nguyen, Phuc N. Phuc.Nguyen@l-3com.com, 10 Aug, 11}.

This is, in general, associated with cloud based analytics"
153,2.5.1,Data Enrichment,The Data Enrichment family of capabilities provide analysis and enhancement of sets of data elements.,"The Data Enrichment family of capabilities provide analysis and enhancement of sets of data elements by providing semantics and extracting non-obvious information from datasets.  Specific capabilities include:

• Entity Extraction - which extracts specific data from text documents.  
• Entity Association - which establishes and records relationships between data objects for use in advanced analytical processing and reporting.
• Categorize Content - which analyzes the text and meta data for a piece of content in order to assign that document into the proper  place in a predefined taxonomy or hierarchy. 
• Chat Monitor - which provides alerts and/or query of multiple chat rooms through detection of key words or other user specified events.",family,family,family,"This sounds a lot like data analytics.  I wonder if we should come up with a ""data analytics"" process flow, and then look for tools that meet those processes (e.g., data cleansing, entity extraction, entity association, validation, etc.)."
